Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Test ROC-AUC
Logistic Regression,0.6955782312925171,0.673469387755102,0.3073394495412844,0.25742574257425743,0.7052631578947368,0.5531914893617021,0.4281150159744409,0.35135135135135137,0.6788698423636833
Decision Tree,0.7585034013605442,0.6530612244897959,0.36797752808988765,0.2222222222222222,0.6894736842105263,0.46808510638297873,0.47985347985347987,0.3013698630136986,0.5697303816004824
Random Forest,0.9931972789115646,0.8367346938775511,0.989247311827957,0.46153846153846156,0.968421052631579,0.1276595744680851,0.9787234042553191,0.2,0.6541476440692565
KNN,0.8554421768707483,0.8401360544217688,0.717391304347826,0.5,0.1736842105263158,0.06382978723404255,0.2796610169491525,0.11320754716981132,0.6148247049702817
